"GEBIETSTYP_CODE","GEMEINDE_CODE","GEMEINDE_NAME"
3,228,"Turbenthal"
3,40,"Trüllikon"
3,41,"Truttikon"
3,198,"Uster"
3,181,"Wila"
3,71,"Wil (ZH)"
3,121,"Wetzikon (ZH)"
3,231,"Zell (ZH)"
3,160,"Zumikon"
3,72,"Winkel"
3,182,"Wildberg"
3,230,"Winterthur"
3,158,"Stäfa"
3,43,"Volken"
3,199,"Volketswil"
3,100,"Stadel"
3,180,"Weisslingen"
3,70,"Wasterkingen"
3,102,"Weiach"
3,69,"Wallisellen"
3,120,"Wald (ZH)"
3,39,"Thalheim an der Thur"
3,13,"Stallikon"
3,101,"Steinmaur"
3,141,"Thalwil"
3,29,"Flurlingen"
3,57,"Freienstein-Teufen"
3,116,"Grüningen"
3,27,"Feuerthalen"
3,172,"Fehraltorf"
3,4,"Hausen am Albis"
3,28,"Flaach"
3,220,"Hagenbuch"
3,114,"Fischenthal"
3,115,"Gossau (ZH)"
3,58,"Glattfelden"
3,194,"Greifensee"
3,192,"Egg"
3,153,"Hombrechtikon"
3,218,"Ellikon an der Thur"
3,117,"Hinwil"
3,113,"Dürnten"
3,173,"Hittnau"
3,59,"Hochfelden"
3,55,"Eglisau"
3,61,"Hüntwangen"
3,87,"Hüttikon"
3,26,"Dorf"
3,191,"Dübendorf"
3,60,"Höri"
3,31,"Henggart"
3,193,"Fällanden"
3,5,"Hedingen"
3,221,"Hettlingen"
3,56,"Embrach"
3,219,"Elsau"
3,151,"Erlenbach (ZH)"
3,152,"Herrliberg"
3,83,"Buchs (ZH)"
3,53,"Bülach"
3,213,"Brütten"
3,112,"Bubikon"
3,54,"Dietlikon"
3,216,"Dinhard"
3,86,"Dielsdorf"
3,25,"Dachsen"
3,214,"Dägerlen"
3,84,"Dällikon"
3,85,"Dänikon"
3,215,"Dättlikon"
3,51,"Bachenbülach"
3,52,"Bassersdorf"
3,81,"Bachs"
3,111,"Bäretswil"
3,2,"Affoltern am Albis"
3,131,"Adliswil"
3,211,"Altikon"
3,82,"Boppelsen"
3,3,"Bonstetten"
3,23,"Berg am Irchel"
3,22,"Benken (ZH)"
3,241,"Aesch (ZH)"
3,161,"Zollikon"
3,261,"Zürich"
3,242,"Birmensdorf (ZH)"
3,243,"Dietikon"
3,244,"Geroldswil"
3,245,"Oberengstringen"
3,246,"Oetwil an der Limmat"
3,247,"Schlieren"
3,248,"Uitikon"
3,249,"Unterengstringen"
3,250,"Urdorf"
3,251,"Weiningen (ZH)"
3,226,"Schlatt (ZH)"
3,11,"Ottenbach"
3,94,"Otelfingen"
3,37,"Ossingen"
3,177,"Pfäffikon"
3,224,"Pfungen"
3,95,"Regensberg"
3,96,"Regensdorf"
3,200,"Wangen-Brüttisellen"
3,14,"Wettswil am Albis"
3,1,"Aeugst am Albis"
3,159,"Uetikon am See"
3,156,"Meilen"
3,196,"Mönchaltorf"
3,9,"Mettmenstetten"
3,93,"Oberweningen"
3,137,"Oberrieden"
3,92,"Oberglatt"
3,66,"Opfikon"
3,10,"Obfelden"
3,157,"Oetwil am See"
3,65,"Oberembrach"
3,89,"Niederglatt"
3,88,"Neerach"
3,90,"Niederhasli"
3,91,"Niederweningen"
3,154,"Küsnacht (ZH)"
3,195,"Maur"
3,34,"Laufen-Uhwiesen"
3,136,"Langnau am Albis"
3,6,"Kappel am Albis"
3,7,"Knonau"
3,33,"Kleinandelfingen"
3,135,"Kilchberg (ZH)"
3,63,"Lufingen"
3,8,"Maschwanden"
3,35,"Marthalen"
3,155,"Männedorf"
3,176,"Lindau"
3,178,"Russikon"
3,139,"Rüschlikon"
3,97,"Rümlang"
3,118,"Rüti (ZH)"
3,225,"Rickenbach (ZH)"
3,12,"Rifferswil"
3,138,"Richterswil"
3,38,"Rheinau"
3,68,"Rorbas"
3,119,"Seegräben"
3,197,"Schwerzenbach"
3,227,"Seuzach"
3,99,"Schöfflisdorf"
3,98,"Schleinikon"
3,67,"Rafz"
3,24,"Buch am Irchel"
3,223,"Neftenbach"
3,298,"Wiesendangen"
3,297,"Bauma"
3,296,"Illnau-Effretikon"
3,295,"Horgen"
3,294,"Elgg"
3,292,"Stammheim"
3,293,"Wädenswil"
3,291,"Andelfingen"
3,62,"Kloten"
3,64,"Nürensdorf"
